品番,品名,長さ,幅,高さ,重量,数量
551043,DU0001,350,215,285,4.38,5
552678,OG0001,362,217,215,5.7,2
554289,BW0001,320,180,210,7.2,13
555707,LT0001,406,237,221,9.46,1
558228,EP0001,360,335,145,6.4,2
558229,EJ0001,360,335,145,7.1,2
558641,B0001,530,340,390,6.4,1
558728,EK0001,383,313,133,8.3,1
559564,BE0001,355,210,225,6.18,2
601452,DF0001,355,210,260,7.8,2
601868,P0001,425,270,237,12.5,1
611012,IK0001,355,214,262,7.84,1
699260,AI0001,400,240,215,8.8,1
919402,PL0001,328,185,229,4.5,2
940426,CL0001,350,210,210,5.8,5
