品番,品名,長さ,幅,高さ,重量,数量
550677,JD0001,355,270,205,9.0,1
553114,JE0001,365,270,390,4.4,1
553115,JF0001,400,270,375,4.9,2
558769,BA0001,430,271,237,11.7,1
559257,GU0001,365,320,405,4.1,4
559258,JG0001,375,315,420,4.1,5
601450,O0001,360,215,305,7.8,2
601451,BF0001,355,215,305,7.8,2
601453,BG0001,356,217,311,7.8,2
601456,DG0001,360,215,305,7.8,1
601458,BZ0001,355,215,305,7.9,2
913775,JH0001,305,270,230,7.1,1
940876,JI0001,355,210,235,8.2,1
940878,JJ0001,361,214,237,8.2,1
940879,JK0001,361,214,237,8.2,1
941371,AF0001,350,195,255,11.7,1
551043,DU0001,350,215,285,4.38,6
557621,JL0001,480,180,271,1.5,1
557623,HX0001,435,340,235,1.7,1
557626,JM0001,475,300,360,2.1,1
557667,JN0001,360,215,215,5.76,1
558228,EP0001,360,335,145,6.4,1
559208,JO0001,350,170,255,6.9,2
559562,GO0001,360,210,180,5.76,1
601710,JP0001,428,298,239,7.7,2
699260,AI0001,400,240,215,8.8,1
