品番,品名,長さ,幅,高さ,重量,数量
602844,BM0001,333,230,274,9.5,4
603342,DV0001,366,217,226,6.2,3
603490,IJ0001,400,235,220,8.7,1
603491,DW0001,395,235,215,8.7,1
603492,Z0001,414,240,221,8.7,1
603493,AA0001,414,240,221,8.7,5
604417,AB0001,405,235,220,8.8,1
604420,FW0001,362,217,215,5.7,1
611012,IK0001,355,214,262,7.84,1
699260,AI0001,400,240,215,8.8,1
699474,AJ0001,345,210,175,5.5,1
916030,IL0001,362,253,253,10.6,1
916031,IM0001,362,253,253,10.6,1
916234,CD0001,420,270,270,15.9,1
916236,AD0001,414,240,221,9.4,1
940426,CL0001,350,210,210,5.8,3
941291,IN0001,355,215,265,7.3,1
942928,IO0001,378,188,185,3.7,1
