品番,品名,長さ,幅,高さ,重量,数量
555575,J0001,430,271,274,14.0,1
555708,K0001,415,270,270,14.6,2
558641,B0001,530,340,390,6.4,1
558643,L0001,375,315,420,4.5,1
558683,C0001,540,275,420,5.0,2
558866,M0001,386,356,392,5.7,1
558868,I0001,525,280,405,5.1,2
559206,N0001,362,209,172,5.8,1
601450,O0001,360,215,305,7.8,1
601868,P0001,425,270,237,12.5,2
940736,Q0001,359,190,230,8.4,1
558802,R0001,385,315,130,7.36,1
558809,S0001,565,265,395,5.6,1
558820,D0001,430,325,396,4.5,2
601869,T0001,356,217,291,8.7,1
941026,U0001,385,315,130,8.3,1
943189,V0001,383,313,453,4.0,2
943190,W0001,398,308,469,3.9,2
