品番,品名,長さ,幅,高さ,重量,数量
534734,AM0001,350,215,265,8.6,2
534736,EI0001,361,215,265,8.6,4
545366,KR0001,361,271,205,8.9,1
545370,KS0001,360,270,205,8.84,1
550677,JD0001,355,270,205,9.0,1
550678,AP0001,350,270,205,8.9,1
551477,ID0001,430,271,237,12.5,1
553089,A0001,520,365,400,9.3,4
554658,GJ0001,420,215,260,11.5,3
558763,IZ0001,355,215,285,8.2,1
558769,BA0001,430,271,237,11.7,1
558802,R0001,385,315,130,7.36,8
558862,H0001,545,265,360,4.6,1
559206,N0001,362,209,172,5.8,2
579347,ER0001,340,330,340,16.4,1
601450,O0001,360,215,305,7.8,1
601748,DJ0001,390,255,230,12.2,2
601869,T0001,356,217,291,8.7,2
603490,IJ0001,400,235,220,8.7,1
603491,DW0001,395,235,215,8.7,1
603493,AA0001,414,240,221,8.7,2
611012,IK0001,355,214,262,7.84,2
941244,FJ0001,361,215,264,7.8,1
941369,FS0001,350,195,255,11.7,1
