品番,品名,長さ,幅,高さ,重量,数量
534734,AM0001,350,215,265,8.6,1
538785,AN0001,512,329,412,8.6,1
547207,AO0001,435,215,220,8.0,1
550678,AP0001,350,270,205,8.9,2
550679,AQ0001,360,270,205,9.02,1
550680,AR0001,355,270,205,9.0,1
550706,AS0001,357,273,175,7.3,2
550707,AT0001,355,270,170,7.36,2
550710,AU0001,355,270,170,7.32,1
553253,AV0001,540,340,235,2.14,1
554962,AW0001,460,265,368,2.7,1
554965,AX0001,476,318,400,3.6,1
558636,AY0001,306,258,259,1.6,1
558642,AZ0001,373,328,408,4.6,2
558643,L0001,375,315,420,4.5,1
558769,BA0001,430,271,237,11.7,1
558812,BB0001,385,316,132,7.38,3
558866,M0001,386,356,392,5.7,1
559114,BC0001,355,215,305,7.8,1
559202,BD0001,362,209,220,6.1,1
559206,N0001,362,209,172,5.8,1
559564,BE0001,355,210,225,6.18,2
601451,BF0001,355,215,305,7.8,1
601453,BG0001,356,217,311,7.8,1
601734,BH0001,423,269,275,14.2,2
