品番,品名,長さ,幅,高さ,重量,数量
532174,KW0001,360,320,275,13.85,1
534736,EI0001,361,215,265,8.6,1
536877,KX0001,398,252,230,3.4,1
549133,BQ0001,359,214,173,5.5,2
549143,KY0001,440,310,315,20.0,1
550819,KZ0001,435,300,318,19.5,1
551477,ID0001,430,271,237,12.5,1
554289,BW0001,320,180,210,7.2,1
554914,FM0001,458,223,302,16.05,1
558229,EJ0001,360,335,145,7.1,1
558641,B0001,530,340,390,6.4,1
559114,BC0001,355,215,305,7.8,1
559200,BY0001,395,315,260,14.5,1
559565,LA0001,300,255,206,7.1,1
601453,BG0001,356,217,311,7.8,2
601458,BZ0001,355,215,305,7.9,3
601734,BH0001,423,269,275,14.2,2
601868,P0001,425,270,237,12.5,1
601869,T0001,356,217,291,8.7,17
916235,CE0001,430,271,274,15.9,2
916236,AD0001,414,240,221,9.4,1
919433,LB0001,352,198,255,10.9,1
941852,LC0001,360,190,225,8.4,1
548385,IX0001,425,250,200,6.46,1
551043,DU0001,350,215,285,4.38,2
554658,GJ0001,420,215,260,11.5,1
555708,K0001,415,270,270,14.6,1
557904,IE0001,320,180,210,7.2,1
558802,R0001,385,315,130,7.36,1
579347,ER0001,340,330,340,16.4,2
601867,DM0001,377,338,239,10.8,7
603492,Z0001,414,240,221,8.7,1
603493,AA0001,414,240,221,8.7,1
699546,LD0001,385,265,220,11.6,1
915806,IC0001,480,285,175,12.9,1
941236,LE0001,385,270,215,11.5,1
