品番,品名,長さ,幅,高さ,重量,数量
534736,EI0001,361,215,265,8.6,1
538785,AN0001,512,329,412,8.6,1
551477,ID0001,430,271,237,12.5,1
552280,MY0001,361,271,205,8.9,2
554070,BT0001,320,170,205,6.56,1
554071,BU0001,325,175,210,6.5,1
554962,AW0001,460,265,368,2.7,1
554964,CN0001,480,260,395,2.8,1
555236,MZ0001,268,208,220,5.2,2
555237,NA0001,268,208,220,5.2,2
558802,R0001,385,315,130,7.36,2
558812,BB0001,385,316,132,7.38,1
559206,N0001,362,209,172,5.8,1
601734,BH0001,423,269,275,14.2,1
601869,T0001,356,217,291,8.7,2
602244,X0001,540,355,380,5.1,1
603493,AA0001,414,240,221,8.7,1
604417,AB0001,405,235,220,8.8,1
