品番,品名,長さ,幅,高さ,重量,数量
601826,BJ0001,525,265,159,2.24,5
601827,DN0001,525,265,155,2.1,2
601831,DO0001,520,265,155,2.1,3
601832,DP0001,525,266,157,2.1,1
601833,DQ0001,525,266,157,2.1,3
602112,DR0001,306,266,296,3.9,3
602660,DS0001,520,265,150,2.3,1
602792,CA0001,380,315,380,3.9,2
549070,DT0001,250,170,200,1.96,1
549133,BQ0001,359,214,173,5.5,1
551043,DU0001,350,215,285,4.38,2
551492,BS0001,355,210,210,5.82,1
601869,T0001,356,217,291,8.7,2
603342,DV0001,366,217,226,6.2,1
603491,DW0001,395,235,215,8.7,1
699437,DX0001,310,210,281,3.6,2
699438,DY0001,315,210,285,3.54,1
940426,CL0001,350,210,210,5.8,1
