品番,品名,長さ,幅,高さ,重量,数量
550678,AP0001,350,270,205,8.9,1
551043,DU0001,350,215,285,4.38,1
553253,AV0001,540,340,235,2.14,1
537423,JQ0001,370,325,135,6.66,1
554658,GJ0001,420,215,260,11.5,5
555706,GB0001,410,210,220,5.42,1
556326,JR0001,460,345,260,14.4,3
558238,JS0001,296,164,200,2.8,2
558632,GD0001,310,255,255,1.6,1
558765,GE0001,555,245,265,11.6,1
558853,GF0001,306,233,200,7.6,3
559213,JT0001,395,245,205,8.1,1
602231,BK0001,318,266,211,5.4,1
602351,JU0001,360,345,200,6.7,16
699971,BO0001,424,314,380,3.1,1
940392,HQ0001,361,291,226,8.1,3
