品番,品名,長さ,幅,高さ,重量,数量
381708,EM0001,325,220,200,7.66,5
533337,LR0001,436,272,155,3.0,2
545499,LS0001,354,212,284,4.4,5
551477,ID0001,430,271,237,12.5,2
554657,FL0001,430,210,310,13.35,3
554658,GJ0001,420,215,260,11.5,3
555707,LT0001,406,237,221,9.46,1
558229,EJ0001,360,335,145,7.1,2
558728,EK0001,383,313,133,8.3,4
558934,LU0001,390,315,245,14.4,1
558937,GN0001,420,210,300,14.0,5
559200,BY0001,395,315,260,14.5,3
559740,LV0001,430,290,250,14.4,2
601734,BH0001,423,269,275,14.2,1
919445,CJ0001,354,236,259,10.2,1
941369,FS0001,350,195,255,11.7,1
