品番,品名,長さ,幅,高さ,重量,数量
534734,AM0001,350,215,265,8.6,1
549130,KE0001,520,240,240,16.8,1
549133,BQ0001,359,214,173,5.5,1
551043,DU0001,350,215,285,4.38,1
551477,ID0001,430,271,237,12.5,1
553253,AV0001,540,340,235,2.14,1
554658,GJ0001,420,215,260,11.5,2
558802,R0001,385,315,130,7.36,2
558812,BB0001,385,316,132,7.38,3
558862,H0001,545,265,360,4.6,1
558868,I0001,525,280,405,5.1,1
558947,KF0001,363,212,215,10.1,1
558949,KG0001,360,215,215,10.1,1
559206,N0001,362,209,172,5.8,1
559208,JO0001,350,170,255,6.9,1
601710,JP0001,428,298,239,7.7,1
601869,T0001,356,217,291,8.7,3
602243,DB0001,530,332,360,4.5,1
603491,DW0001,395,235,215,8.7,1
603492,Z0001,414,240,221,8.7,2
603493,AA0001,414,240,221,8.7,1
699437,DX0001,310,210,281,3.6,1
699730,AC0001,410,235,220,8.9,2
699971,BO0001,424,314,380,3.1,1
699981,KH0001,304,254,209,3.8,1
916236,AD0001,414,240,221,9.4,1
919506,KI0001,428,236,235,5.9,1
940426,CL0001,350,210,210,5.8,1
941244,FJ0001,361,215,264,7.8,1
