品番,品名,長さ,幅,高さ,重量,数量
534734,AM0001,350,215,265,8.6,2
554658,GJ0001,420,215,260,11.5,8
555576,GK0001,360,214,307,8.3,1
555709,GL0001,356,217,311,8.7,1
558228,EP0001,360,335,145,6.4,1
558229,EJ0001,360,335,145,7.1,1
558759,GM0001,355,215,310,10.2,1
558937,GN0001,420,210,300,14.0,1
559205,FT0001,425,215,305,14.0,1
559206,N0001,362,209,172,5.8,1
559562,GO0001,360,210,180,5.76,1
559564,BE0001,355,210,225,6.18,1
601712,FV0001,400,300,230,7.8,1
601734,BH0001,423,269,275,14.2,1
699547,GP0001,310,230,285,9.6,1
699548,GQ0001,415,340,315,8.6,1
940367,CK0001,362,209,220,6.1,1
941239,GR0001,355,265,225,10.3,1
