品番,品名,長さ,幅,高さ,重量,数量
546752,HD0001,355,210,215,5.76,1
550794,HE0001,356,217,311,9.0,1
551043,DU0001,350,215,285,4.38,2
552998,HF0001,440,305,310,23.0,1
558229,EJ0001,360,335,145,7.1,3
558802,R0001,385,315,130,7.36,10
558829,HG0001,354,236,259,9.9,1
558937,GN0001,420,210,300,14.0,1
559100,HH0001,356,217,311,7.6,1
559206,N0001,362,209,172,5.8,4
559785,HI0001,460,223,307,16.0,1
579347,ER0001,340,330,340,16.4,2
601458,BZ0001,355,215,305,7.9,4
616855,HJ0001,350,265,205,8.9,1
919418,FR0001,345,195,255,10.85,1
919423,EX0001,350,195,255,10.9,1
919445,CJ0001,354,236,259,10.2,1
699297,HK0001,265,250,155,5.58,1
699474,AJ0001,345,210,175,5.5,2
699730,AC0001,410,235,220,8.9,1
699971,BO0001,424,314,380,3.1,1
916228,HL0001,450,240,250,9.4,1
919386,HM0001,414,240,221,9.4,1
919421,HN0001,354,236,259,9.8,1
939997,HO0001,320,205,270,1.5,1
940103,HP0001,420,242,246,2.4,1
940392,HQ0001,361,291,226,8.1,17
940426,CL0001,350,210,210,5.8,2
941260,BP0001,430,271,274,14.2,1
