品番,品名,長さ,幅,高さ,重量,数量
531045,HR0001,355,159,261,6.5,1
537298,HS0001,435,215,230,7.36,1
547399,HT0001,330,265,250,8.18,2
548635,HU0001,475,318,360,3.46,1
550936,HV0001,490,262,166,12.3,1
551429,HW0001,475,265,445,3.5,1
554216,BV0001,316,170,211,6.54,1
554658,GJ0001,420,215,260,11.5,1
557623,HX0001,435,340,235,1.7,1
557940,HY0001,403,245,362,3.0,1
558229,EJ0001,360,335,145,7.1,2
558683,C0001,540,275,420,5.0,2
558765,GE0001,555,245,265,11.6,1
559111,GV0001,355,220,310,7.9,1
601449,DE0001,361,215,264,7.8,1
601452,DF0001,355,210,260,7.8,1
601456,DG0001,360,215,305,7.8,1
601458,BZ0001,355,215,305,7.9,2
601460,HZ0001,356,214,262,7.86,1
601869,T0001,356,217,291,8.7,4
601996,IA0001,398,236,235,5.9,1
602800,IB0001,398,308,399,3.3,1
699474,AJ0001,345,210,175,5.5,1
699970,EU0001,458,314,384,3.3,1
915806,IC0001,480,285,175,12.9,1
919421,HN0001,354,236,259,9.8,1
